Name of item,,items used,,FAT,carbohydrates,protien,,Total cal,veg/NV
,,,,,,,,,
1.Poha,,Poha,,3,6,69,,360,veg
,,,,,,,,,
2.Dosa,"rice,black gram,flattened rice",,,15,14,65,,420,veg
,,,,,,,,,
3.Kachori,"moongdal,maida",,,0,12,10,,45,veg
,,,,,,,,,
4.Akoori,"eggs,onion",,,9,10,7,,156,veg
,,,,,,,,,
5.Roti,"maida,curd,salt",,,4,1,11,,106,veg
,,,,,,,,,
6.Popadum,,"black gram flour,chilli powder",,2,5,5,,65,veg
,,,,,,,,,
7.Idli,"flattened rice,black gram,rice",,,2,0,8,,39,veg
,,,,,,,,,
8.Phulka,"maida,salt,curd",,,3,1,19,,94,veg
,,,,,,,,,
9.Chappathi,,"salt,oil,wheat flour",,3,0,24,,114,veg
,,,,,,,,,
10.Jilebi,,"maida,sugar,baking soda",,1,2,31,,200,veg
,,,,,,,,,
11.vadai,,"black gram,rice,flattened rice",,0,18,16,,240,veg
,,,,,,,,,
12.Utappam,,"onion, chilli, flattened rice",,17.5,2.8,14.2,,92,veg
,,,,,,,,,
13.Mysorepak,,"ghee,sugar,gram flour",,2,10,26,,197,veg
,,,,,,,,,
14.Bhaji,"oil,dal,capsicum,tomato",,,4,1,6,,75,veg
,,,,,,,,,
15.Egg omelet,,eggs,,12,10,4,,199,veg
,,,,,,,,,
16.Samosa,,"maida,aloo,salt",,2,8,15,,250,veg
,,,,,,,,,
17.Pongal,,"rice,moong dal,ghee",,22,74,116,,212,veg
,,,,,,,,,
18.Akki roti,,"rice powder,salt,oil",,2.7,8,30.5,,208,veg
,,,,,,,,,
19.Khichdi,,"suji, beans,carrot",,0,0,0,,103,veg
,,,,,,,,,
20.Puri,,"oil, salt, wheat flour",,3,5,16,,112,veg
,,,,,,,,,
21.Aloo paratha,,"potato,maida",,10,8,65,,390,veg
,,,,,,,,,
22.Upma,,"samolina, onion,chilli",,16p,52,123,,192,veg
,,,,,,,,,
23.pesarattu,,"green moong, basmati rice",,30,32,82,,145,veg
,,,,,,,,,
24.Ragi sangati,,"finger millet flour,oil",,3,1,21,,108,veg
,,,,,,,,,
25.Appam,,"Urad dal, coconut milk",,6,16,77,,99,veg
,,,,,,,,,
26.Vada pav,,"whole wheat flour,potato",,26,36,136,,197,veg
,,,,,,,,,
27.Dalia,,"Broken wheat, milk,sugar",,12,1.3,76,,342,veg
,,,,,,,,,
28.Idiappam,,Rice flour,,1,2.3,10,,69,veg
,,,,,,,,,
