s no,Name,Items,protein,fat,carbs,fibre,totao cal,veg /non veg
,,,,,,,,
1,quinoa pumpkin kichidi meal,quinoa,20,12,48,17,390,veg
,,dal,,,,,,
,,pumpkin,,,,,,
,,carrots,,,,,,
,,mushrooms,,,,,,
,,,,,,,,
2,high protein chole patty meal,chole,29,31,80,26,704,veg
,,yogurt,,,,,,
,,peanuts,,,,,,
,,sweet potato patties,,,,,,
,,,,,,,,
3,hing wale channe & veg pulao,brown rice,28,13,99,24,638,veg
,,channa,,,,,,
,,veggies,,,,,,
,,,,,,,,
,,,,,,,,
4,dal makhni & veg pulao,brown rice,25,10,99,18,601,veg
,,dal,,,,,,
,,veggies,,,,,,
,,,,,,,,
,,,,,,,,
5,curd rice,red rice,12,11,52,8,350,veg
,,curd,,,,,,
,,spices,,,,,,
,,,,,,,,
6,paratha meal,wheet,36,34,84,22,842,veg
,,paneer,,,,,,
,,dal,,,,,,
,,,,,,,,
,,,,,,,,
7,pulav and egg masala,rice,25,26,38,14,494,non veg
,,eggs,,,,,,
,,spices,,,,,,
,,,,,,,,
,,,,,,,,
8,pulav baked vegtables and Rajma,rice,19,30,16,22,443,veg
,,vegetables,,,,,,
,,rajma,,,,,,
,,,,,,,,
,,,,,,,,
9,Panner khatta Pyaaz Parata,onions,33,39,92,20,842,veg
,,wheet,,,,,,
,,panner,,,,,,
,,,,,,,,
,,,,,,,,
10,Daal Indian Meal,rice,9,12,24,108,264,veg
,,Dal,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
11,Puliyogre,rice,9,9,36,37,270,veg
,,tamirind,,,,,,
,,spices,,,,,,
,,,,,,,,
12,tomota rice,rice,19,9,26,7,340,veg
,,tamota,,,,,,
,,spices,,,,,,
,,,,,,,,
,,,,,,,,
13,Lemon Rice,Rice,7.1,16,34,7,250,veg
,,lemon,,,,,,
,,spices,,,,,,
,,,,,,,,
14,tamarid rice,rice,21,16,44,6.3,250,veg
,,tamarind,,,,,,
,,spices,,,,,,
,,,,,,,,
15,malabar fish biriyani,fish,103,16,34,28,550,non veg
,,spices,,,,,,
,,basmati rice,,,,,,
16,mango rice,mango paste,19,8,39,14,250,veg
,,spices,,,,,,
,,rice,,,,,,
,,,,,,,,
17,sambar rice,veggies,15,9,26,7,180,veg
,,spices,,,,,,
,,rice,,,,,,
,,,,,,,,
18,dal rice,dhal,29,19,36,46,240,veg
,,spices,,,,,,
,,rice,,,,,,
,,,,,,,,
,,,,,,,,
19,egg fried rice,eggs,67,9,16,7.9,189,non veg
,,rice,,,,,,
,,veggies,,,,,,
,,spices,,,,,,
,,,,,,,,
20,chicken fried rice,chicken,123,9,56,67,340,non veg
,,rice,,,,,,
,,spices,,,,,,
,,,,,,,,
21,peas biriyani,peas,56,9,86,27,340,veg
,,rice,,,,,,
,,spices,,,,,,
,,,,,,,,
23,dryfruits rice,dryfruits,24,9,26,70,340,veg
,,rice,,,,,,
,,spices,,,,,,
,,,,,,,,
24,rasam rice,tamarind,19,9,36,17,340,veg
,,spices,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
25,jackfruit seeds biriyani,jackfruit seeds,67.8,29,26,7,224,veg
,,basmati rice,,,,,,
,,spices,,,,,,
,,,,,,,,
,,,,,,,,
26,mutton biriyani,mutton,102,58.1,46,17,412,non veg
,,basmati rice,,,,,,
,,spices,,,,,,
,,,,,,,,
27,prawns biriyani,prawns,190,19,76,14,260,non veg
,,basmati rice,,,,,,
,,spices,,,,,,
,,,,,,,,
28,chicken kebab,chicken,200,16,26,7,340,non veg
,,basmati rice,,,,,,
,,spices,,,,,,
,,,,,,,,
,,,,,,,,
29,keema balls biriyani,keema,140,100,69,9,440,non veg
,,basmati rice,,,,,,
,,spices,,,,,,
,,,,,,,,
30,haleem,mutton,154,143,26,7,569,non veg
,,spices,,,,,,
,,,,,,,,
31,tomato soup,tomatoes,1.5,1,1.1,0,28,veg
,,spices,,,,,,
,,,,,,,,
,,,,,,,,
32,corn soup,corn,2.6,1.6,2,,35,veg
,,spices,,,,,,
,,,,,,,,
,,,,,,,,
33,chicken soup,chicken,4,1.3,2.2,0,40,non veg
,,spices,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
34,creamy chicken soup,cream,1.2,4,3.3,0,61,non veg
,,chicken,,,,,,
,,spices,,,,,,
,,,,,,,,
,,,,,,,,
35,pepper soup,pepper,1,1.3,2,0,24,veg
,,spices,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
36,vegetable soup,vegetables,3,1.9,2.9,0,25,veg
,,spice,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
37,cheesy potato soup,cheese,1.2,9,4,0,74,veg
,,potatoes,,,,,,
,,spices,,,,,,
,,,,,,,,
,,,,,,,,
38,chicken stew soup,chicken,2.5,3.6,2.6,0,36,non veg
,,stew,,,,,,
,,spices,,,,,,
,,,,,,,,
39,curd rice,curd,2,4,1.4,1,65.6,veg
,,rice,,,,,,
,,fruits,,,,,,
