sno,items,ingredients,protein,fat,carbs,fibre,cal
1,idli with coconut chutney,blackgram,19,17,77,12,532
,,rice,,,,,
,,coconut,,,,,
,,urad dhal,,,,,
,,,,,,,
2,mix veg paratha,atta,16,6,56,18,532
,,ghee,,,,,
,,vegetables,,,,,
,,olive oil,,,,,
,,,,,,,
3,egg bhurji with garlic pav,eggs,23,18,41,12,425
,,garlics,,,,,
,,pavs,,,,,
,,spices,,,,,
,,,,,,,
4,bread omelette with roast potato wedges,eggs,23,17,23,8,338
,,potato,,,,,
,,brown bread,,,,,
,,spices,,,,,
,,,,,,,
5,fruit pop oatmeal bowl,fresh fruits,9,4,68,8,336
,,oats,,,,,
,,berries,,,,,
,,dairy,,,,,
,,,,,,,
6,classic fruit bowl,fresh fruits,4,3,36,14,198
,,sunflower seeds,,,,,
,,pumpkin seeds,,,,,
,,sesame seeds,,,,,
,,,,,,,
7,banana walnut payasam,walnuts,2,6,22,8,198
,,bananas,,,,,
,,jaggery,,,,,
,,whole wheat base,,,,,
,,,,,,,
,,,,,,,
8,coated peanuts,peanuts,6,11,4,2,144
,,jaggery,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9,quinoa pumpkin kichidi meal,quinoa,20,12,48,173,390
,,dal,,,,,
,,pumpkin,,,,,
,,carrots,,,,,
,,mushrooms,,,,,
,,,,,,,
10,high protein chole patty meal,chole,29,23,80,26,704
,,yogurt,,,,,
,,peanuts,,,,,
,,sweet potato patties,,,,,
,,,,,,,
11,hing wale channe & veg pulao,brown rice,28,13,99,24,638
,,channa,,,,,
,,veggies,,,,,
,,,,,,,
,,,,,,,
12,dal makhni & veg pulao,brown rice,25,10,99,18,601
,,dal,,,,,
,,veggies,,,,,
,,,,,,,
,,,,,,,
13,curd rice,red rice,12,11,52,8,350
,,curd,,,,,
,,spices,,,,,
,,,,,,,
,From here Indian Meals,,,,,,
,,,,,,,
14,paratha meal,wheet,36,34,84,22,842
,,paneer,,,,,
,,dal,,,,,
,,,,,,,
,,,,,,,
15,pulav and egg masala,rice,25,26,38,14,494
,,eggs,,,,,
,,spices,,,,,
,,,,,,,
,,,,,,,
16,pulav baked vegtables and Rajma,rice,19,30,16,22,
,,vegetables,,,,,443
,,rajma,,,,,
,,,,,,,
,,,,,,,
17,Panner khatta Pyaaz Parata,onions,33,39,92,20,842
